periodical,location,ethnic_periodical,lon,lat,number_of_mentions
New York Independent,"New York, NY",NA,-73.9808,40.7648,1
Cincinnati Enquirer,"Cincinnati, Ohio",NA,-84.5125,39.1015,1
Hobart Mercury,"Hobart, Tasmania",NA,147.3281,-42.8825,1
Boston Journal,"Boston, MA",NA,-71.0596,42.3605,1
New York Sun,"New York, NY",NA,-73.9808,40.7648,3
Chicago Times,"Chicago, IL",NA,-87.6244,41.8756,3
Texas Siftings,"Austin, TX",NA,-97.7437,30.2711,2
Puck,"New York, NY",NA,-73.9808,40.7648,3
Lewistown,"Lewistown, MT",NA,-109.4282,47.0625,1
Philadelphia Call,"Philadelphia, PA",NA,-75.1327,40.0115,1
Boston Transcript,"Boston, MA",NA,-71.0596,42.3605,2
Chicago Herald,"Chicago, IL",NA,-87.6244,41.8756,1
New York Tribune,"Manhattan, NY",NA,-73.9597,40.7903,5
New York Herald,"New York, NY",NA,-73.9808,40.7648,3
Philadelphia Press,"Philadelphia, PA",NA,-75.1327,40.0115,3
Philadelphia North American,"Philadelphia, PA",NA,-75.1327,40.0115,2
St. Louis Republican,"St. Louis, MO",NA,-90.19,38.63,2
Troy Times,"Troy, NY",NA,-73.6918,42.7284,1
Boston Globe,"Boston, MA",NA,-71.0596,42.3605,1
Boston Post,"Boston, MA",NA,-71.0596,42.3605,3
Chicago Tribune,"Chicago, IL",NA,-87.6244,41.8756,3
Whitehall Times,"Whitehall, NY",NA,-73.7988,42.6468,1
Chicago Sun,"Chicago, IL",NA,-87.6244,41.8756,1
N.O. Picayune,"New Orleans, LA",NA,-90.0701,29.9499,1
Norristown,"Norristown, PA",NA,-75.3399,40.1215,1
Brooklyn Eagle,"Brooklyn, NY",NA,-73.9496,40.6501,1
Kentucky State Journal,"Newport, KY",NA,-84.492,39.0889,1
Commercial Gazette,"Cincinnati, Ohio",NA,-84.5125,39.1015,1
Boston Beacon,"Boston, MA",NA,-71.0596,42.3605,1
London Telegraph,"London, England",NA,-0.1275,51.50722,1
Boston Herald,"Boston, MA",NA,-71.0596,42.3605,1
Godey's Lady's Book and Magazine,Philadelphia,NA,-75.1327,40.0115,1
Hunt's Merchant's Magazine,New York City,NA,-73.9808,40.7648,2
Cleveland Herald,"Cleveland, Ohio",NA,-81.6934,41.5052,2
Mansfiled Herald,"Mansfield, Ohio",NA,-82.5154,40.7584,1
Columbus Journal,"Columbus, Ohio",NA,-83.0007,39.9623,1
Hamilton Intelligencer,"Hamilton, Ohio",NA,-84.5613,39.3995,1
Republic,"Springfield, Ohio (Unclear)",NA,-83.8088,39.9242,1
Columbian Magazine,New York City,NA,-73.9808,40.7648,1
Albany Knick,"Albany, New York",NA,-73.755,42.6512,1
Chardon Democrat,"Chardon, Ohio",NA,-81.2033,41.5825,1
Landmen's Adventures,unidenfiable,NA,NA,NA,1
Western Christian Advocate,"Cincinnati, Ohio",NA,-84.512016,39.103119,2
Congregationalist,"Boston, MA",NA,-71.0589,42.3601,1
Victoria,"Oxford, England",NA,-1.264027,51.773175,1
Evangelist,"New York City, New York",NA,-73.9808,40.7648,1
Chamber's Journal,"London, England",NA,-51.509865,0.118092,1
Ed Journal,unidentifiable,NA,NA,NA,1
The Methodist,"New York City, New York",NA,-73.9808,40.7648,1
The Gayworthys,"Boston, MA",NA,-71.0589,42.3601,1
Zion's Herald,"Cincinnati, Ohio",NA,-84.512,39.1031,2
The Nation,"Washington, D.C.",NA,-77.0366,38.895,1
London Daily News,"Longdon, England",NA,-51.509865,0.118092,1
Richmond Examiner,"Richmond, Virginia",NA,-77.436,37.5407,1
Colored Tennessean,"Nashville, Tennessee",yes,--86.7744,36.1622,1
Sword and Trowel,"London, England",NA,-0.12764739999999997,51.507321899999994,1
Religious Herald,"Richmond, Virginia",NA,-77.436,37.5407,1
Dallas Express,"Dallas, Texas",NA,-96.797,32.7767,2
New York Evening Sun,"New York City, New York",NA,-73.9808,40.7648,1
Journal and Messenger,"Cincinnati, Ohio",NA,-84.512,39.1031,4
London Chronicle,"London, England",NA,-0.118092,51.509865,1
Saturday Evening Post,"Philadelphia, Pennsylvania",NA,-75.1327,40.0115,1
Atlanta Journal,"Atlanta, Georgia",NA,-84.388,33.749,1
Harper’s Bazar,New York City,NA,-73.9808,40.7648,1
Boston Courier,"Boston, MA",NA,-71.0589,42.3601,2
St. Louis Post Dispatch,"St. Louis, Missouri",NA,-90.1994,38.627,1
London Tit-Bits,"London, England",NA,-0.118092,51.509865,1
Cleveland Plain Dealer,"Cleveland, Ohio",NA,-81.6934,41.5052,1
New York Press,New York City,NA,-73.9808,40.7648,1
Philadelphia Record,Philadelphia,NA,-75.1327,40.0115,3
Atchison Daily Globe,"Atchinson, Kansas",NA,-95.1213,39.5634,2
NY Herald,"New York City, New York",NA,-73.9808,40.7648,2
Exchange,"Baltimore, Maryland",NA,-76.6108,39.2909,3
Ohio Farmer,"Cleveland, Ohio",NA,-81.6934,41.5052,2
New York Post,"New York City, New York",NA,-73.9808,40.7648,2
Cor Prarie Farmer,"Chicago, Illinois",NA,-87.6244,41.8756,1
Detroit Post,"Detroit, Michigan",NA,-83.0458,42.3314,1
London Times,"London, England",NA,-0.118092,51.509865,1
Milwaukee Sentinel,"Milwaukee, WI ",NA,-87.9735,43.0115,1
Yenowines News,"Milwaukee, WI ",NA,-87.9735,43.0115,1
San Francisco Wasp,"San Franciso, CA",NA,-122.463,37.7648,1
New York Weekly,"New York, NY",NA,-73.9808,40.7648,1
Chatter,"New York, NY",NA,-73.9808,40.7648,1
Boston Transcript,"Boston, MA",NA,-71.0596,42.3605,1
West Shore,"Portland, OR",NA,-122.6742,45.5202,1
Leeds Mercury,"Leeds, West Yorkshire, England",NA,-1.54917,53.79972,1
Judge,"New York, NY",NA,-73.9808,40.7648,3
Baltimore American,"Baltimore, MD",NA,-76.6108,39.2909,2
Binghamton Leader,"Binghamton, NY",NA,-75.9143,42.097,1
Evening Herald,"Trenton, TN",NA,-88.9415,35.9806,1
Chicago News,"Chicago, IL",NA,-87.6244,41.8756,1
Richmond Planet,"Richmond, Virginia",yes,-77.4343,37.5385,1
National-Post,"Washington, D.C.",NA,-77.0366,38.895,1
Cleveland Gazette,"Cleveland, Ohio",NA,-81.6934,41.5052,2
The Catholic Tribune,"Cincinnati, Ohio",NA,-84.5125,39.1015,2
Colored Citizen,"Cincinnati, Ohio",yes,-84.5125,39.1015,1
Western Appeal,"St. Paul, Minnesota",yes,-93.1015,44.9504,1
The Newark Daily American,"Newark, Ohio",NA,-82.4013,40.0581,2
Smith's Broad Axe,"Pittsburgh, Pennsylvania",NA,-79.9901,40.4417,1
The Evening Star,"Washington, D.C.",NA,-77.0366,38.895,1
The Enquirer,"Columbus, Ohio",NA,-83.0007,39.9623,1
The Louisiana Standard,"New Orleans, Louisiana",NA,-90.0701,29.9499,1
The People's Advocate,"Alexandria, Virginia",yes,-77.047,38.8051,1
The State Capital,"Springfield, Illinois",yes,-89.6444,39.799,1
Detroit Plaindealer,"Detroit, Michigan",yes,-83.0567,42.3487,1
The North Carolina Amateur,"Rose Hill, North Carolina",NA,-78.023,34.8282,2
Boys of New York,"New York City, New York",NA,-73.9808,40.7648,1
Boys' Own,"Kansas City, Kansas",NA,-94.5786,39.0997,1
Wide Awake,"Lancaster, Pennsylvania",NA,-76.3055,40.0379,1
Juvenile Weekly,"Lexington, Kentucky",NA,-84.5037,38.0406,1
Amateur Argus,"Evansville, Indiana",NA,-87.5711,37.9716,1
Odd Trump,"Wilmington, N.C.",NA,-77.8868,34.2104,6
Our Free Blade,"New Bern, North Carolina",NA,-77.0441,35.1085,1
Imp,"New York City, New York",NA,-73.9808,40.7648,1
Composing Stick,"Ripley, Ohio",NA,-83.8449,38.7456,1
Rounce,"Cedar Rapids, Iowa",NA,-91.6656,41.9779,1
Young Aspirant,"Punxsutawney, Pennsylvania",NA,-78.9709,40.9437,1
Stylus,"Tiffin, Ohio",NA,-83.178,41.1145,1
Tatler,"Fostoria, Ohio",NA,-83.4169,41.157,1
Little Pearl,"Fostoria, Ohio",NA,-83.4169,41.157,1
Plain Dealer,"Brooklyn, New York",NA,-73.9442,40.6782,1
Exponent,"Cincinnati, Ohio",NA,-84.512,39.1031,1
The Daily Mail,"London, England",NA,-0.118092,51.509865,1
Biloxi Gazette,"Biloxi, Mississippi",NA,-88.8853,30.396,1
Informer,"Detroit, Michigan",yes,-83.0458,42.3314,1
Atlanta Constitution,"Atlanta, Georgia",NA,-84.388,33.749,1
Detroit Free Press,"Detroit, Michigan",NA,-83.0458,42.3314,3
Washington Post,"Washington, D.C.",NA,-77.0369,38.9072,1
Indianapolis Journal,"Indianapolis, Indiana",NA,-86.1581,39.7684,1
Chicago Daily News,"Chicago, Illinois",NA,-87.6298,41.8781,7
Chicago Dispatch,"Chicago, Illinois",NA,-87.6298,41.8781,2
Chambers' Journal,"London, England",NA,-0.118092,51.509865,1
Scientific American,"New York City, New York",NA,-73.9808,40.7648,1
Collier's Weekly,"Cambridge, Massachusetts",NA,-71.1097,42.3736,1
Chicago Chronicle,"Chicago, Illinois",NA,-87.6298,41.8781,1
Syracuse Herald,"Syracuse, New York",NA,-76.1474,43.0481,1
N.O. Times-Democrat,"New Orleans, Louisiana",NA,-90.0715,29.9511,1
Pittsburgh Gazette,"Pittsburgh, Pennsylvania",NA,-79.9959,40.4406,1
Cherokee Advocate,"Tahlequah, Cherokee Nation [Okla.]",Yes,-94.97,35.9154,1
Louisville Journal,"Louisville, Kentucky",NA,-85.7585,38.2527,1
Western Citizen,"Chicago, Illinois",NA,-87.6298,41.8781,1
The Mystery,"Pittsburgh, Pennsylvania",Yes,-79.9959,40.4406,1
The True Sun,"London, England",NA,-0.118092,51.509865,1
Baltimore Saturday Visiter,"Baltimore, Maryland",NA,-76.6108,39.2909,1
Piqua Register,"Miami, Ohio",NA,-84.7345,39.5087,1
Cincinnati Commercial,"Cincinnati, Ohio",NA,-84.5125,39.1015,1
Cincinnati Weekly Herald,"Cincinnati, Ohio",NA,-84.5125,39.1015,1
Ohio State Tribune,"Columbus, Ohio",NA,-82.9988,39.9612,1
Milwaukee Democrat,"Milwaukee, Wisconsin",NA,-87.9065,43.0389,1
Dayton Eagle,"Dayton, Ohio",NA,-84.1916,39.7589,1
Cleveland Herald,"Cleveland, Ohio",NA,-81.6934,41.5052,1
Journal of Commerce,"New York, NY",NA,-73.9808,40.7648,1
Richmond Enquire,"Richmond, Virginia",NA,-77.436,37.5407,1
The Daily Fashion,"New Orleans, Louisiana",NA,-90.0715,29.9511,1
London Sentinel,"London, Kentucky",NA,-84.0833,37.129,1
The Athenaeum,"London, England",NA,-0.118092,51.509865,1
Disfranchised American,"Cincinnati, Ohio",Yes,-84.5125,39.1015,1
The Exeter,"Exeter, New Hampshire",NA,-70.9478,42.9814,1
New Lisbon Aurora,"New Lisbon, Ohio",NA,-80.7681,40.772,1
Ohio State Journal,"Columbus, Ohio",NA,-82.9988,39.9612,1
The Clarksonian,"Hartford, Connecticut",Yes,-72.6734,41.7658,1
Olive Branch,"Boston, MA",NA,-71.0589,42.3601,1
Christian Freeman and Family Visiter,"Waltham, Massachusetts",NA,-71.2356,42.3765,1
North Star,"Rochester, New York",Yes,-77.6088,43.1566,1
Spirit of Freedom,"Chagrin Falls, Ohio",NA,-81.3911,41.4299,1
Liberator,"Boston, MA",NA,-71.0589,42.3601,1
Tippecanoe Journal,"Tippecanoe, Ohio",NA,-81.2871,40.2699,1
The Daily Madisonian,Washington D.C.,NA,-77.0369,38.9072,1
Philadelphia Gazette,"Philadelphia, Pennsylvania",NA,-75.1327,40.0115,1
Philadelphia Chronicle,"Philadelphia, Pennsylvania",NA,-75.1327,40.0115,1
The Daily Mercury,"Mobile, Alabama",NA,-88.0399,30.6954,1
The Avalanche,"Memphis, Tennessee",NA,-90.049,35.1495,1
The United States Gazette,"Philadelphia, Pennsylvania",NA,-75.1327,40.0115,1
The Portland Bulletin,"Portland, Maine",NA,-70.2568,43.6591,1
The Buffalo Gazette,"Buffalo, New York",NA,-78.8784,42.8864,1
Arkansas Traveler,"Fayetteville, Arkansas",NA,-94.1579,36.0662,1
American Republic,"New York, NY",NA,-73.9808,40.7648,1
St. Louis New Era,"St. Louis, Missouri",NA,-90.19,38.63,1
Morning Courier and New York Enquirer,"New York, NY",NA,-73.9808,40.7648,1
The Natchitoches Chronicle,"Natchitoches, Louisiana",NA,-93.0863,31.7607,1
Christain Advocate and Journal,"New York, NY",NA,-73.9808,40.7648,1
Buffalo Courier,"Buffalo, New York",NA,-78.8784,42.8864,1
New Orleans Commercial Bulletin,"New Orleans, Louisiana",NA,-90.0701,29.9499,1
Indiana Freeman,"Indianapolis, Indiana",Yes,-86.1581,39.7684,1
Bangor Daily Whig & Courier,"Bangor, Maine",NA,-68.7712,44.8016,1
Dew Drop,unidentifiable,NA,NA,NA,1
Democratic Freedom,unidentifiable,NA,NA,NA,1
Bloomfield,unidentifiable,NA,NA,NA,1
Liberty Courier,unidentifiable,NA,NA,NA,1
Ellsworth Reports,unidentifiable,NA,NA,NA,1
Franklin Banner,unidentifiable,NA,NA,NA,1
Persevere,unidentifiable,NA,NA,NA,1
Washington D.C. Bee,"Washington, D.C.",NA,-77.0369,38.9072,1
Denver Statesman,"Denver, Colorado",NA,-104.9903,39.7392,2
San Antonio Advance,"San Antonio, Texas",NA,-98.4936,29.4241,1
Kansas City Observer,"Kansas City, Kansas",NA,-94.6268,39.1155,1
Atchison Blade,"Atchison, Kansas",NA,-95.1216,39.5631,1
Mobile Press,"Mobile, Alabama",NA,-88.0399,30.6954,1
Philadelphia Tribune,"Philadelphia, Pennsylvania",NA,-75.1327,40.0115,1
Indianapolis Freeman,"Indianapolis, Indiana",NA,-86.1581,39.7684,1
Savannah Tribune,"Savannah, Georgia",NA,-81.0912,32.0809,1
Chicago Record,"Chicago, Illinois",NA,-87.6298,41.8781,3
Globe Quarterly Review,"New York City, New York",NA,-73.9808,40.7648,1
Truth,unidentifiable,NA,NA,NA,NA
Industrial News,"Jackson, Michigan",NA,-84.4013,42.2459,1
Pittsburgh Chronicle,"Pittsburgh, Pennsylvania",NA,-79.9959,40.4406,1
Washington Democrat,"Olympia, Washington",NA,-122.9007,47.0379,5
Pearson's Weekly,"London, England",NA,-0.118092,51.509865,1
Philadelphia Public Ledger,"Philadelphia, Pennsylvania",NA,-75.1652,39.9526,1
Brotherhood,"Dallas, Texas",NA,-96.797,32.7767,1
Charleston Enquirer,"Charleston, SC",NA,-79.9311,32.7765,1
New York Journal,"New York City, New York",NA,-73.9808,40.7648,1
London Spare Moments,"London, England",NA,-0.118092,51.509865,1
Youth's Companion,"Boston, MA",NA,-71.0589,42.3601,1
Yonkers Statesman,"Yonkers, New York",NA,-73.8987,40.9312,2
Stray Stories,unidentifiable,NA,NA,NA,1
L.A. W. Bulletin,"Cincinnati, Ohio",NA,-84.512,39.1031,2
Kansas City Journal,"Kansas City, Kansas",NA,-94.5786,39.0997,1
Kansas City Star,"Kansas City, Kansas",NA,-94.5786,39.0997,1
Singapore Free Press,Singapore,NA,103.89917,1.346766,1
Detroit Journal,"Detroit, Michigan",NA,-77.0276,38.9003,2
Metropolitan,"Chicago, Illinois",NA,-87.6298,41.8781,1
The Religious Telescope,"Dayton, Ohio",yes,-84.1916,39.7589,1
Philadelphia Editor,"Philadelphia, Pennsylvania",NA,-75.1652,39.9526,1
The Christian Banner,"Philadelphia, Pennsylvania",yes,-75.1652,39.9526,1
Columbus Daily Press,"Columbus, Ohio",NA,-82.9988,39.9612,1
Green County Press,"Jamestown, Ohio",NA,-83.7349,39.6581,1
Little Courier,unidentifiable,NA,NA,NA,NA
Nonpareil,"Council Bluffs, Iowa",NA,-95.8614,41.2621,NA
Amateur Blade,"Toledo, Ohio",NA,-83.5127,41.6787,NA
Unknown,unidentifiable,NA,NA,NA,NA
Paris of America,unidentifiable,NA,NA,NA,NA
Apex,unidentifiable,NA,NA,NA,NA
Eastern Star,"Biddeford, Maine",NA,-70.4534,43.4926,NA
Amateur Iowan,unidentifiable,NA,NA,NA,NA
Our Own Journal,unidentifiable,NA,NA,NA,NA
Our Free Lance,unidentifiable,NA,NA,NA,NA
Amateur World,"Louisville, Kentucky",NA,-85.7594,38.2542,NA
Echoes of the Board,unidentifiable,NA,NA,NA,NA
Pierian,unidentifiable,NA,NA,NA,NA
Pen and Press,unidentifiable,NA,NA,NA,NA
Aldine,unidentifiable,NA,NA,NA,NA
Club,unidentifiable,NA,NA,NA,NA
Academy Journal,unidentifiable,NA,NA,NA,NA
Trumpet,unidentifiable,NA,NA,NA,NA
Buckeyeye Broadaxe,unidentifiable,NA,NA,NA,NA
Hill Top Tribune,unidentifiable,NA,NA,NA,NA
Aldine,"New York City, New York",NA,-73.9808,40.7648,NA
Workingmen's Voice,unidentifiable,NA,NA,NA,NA
Independent Times,"Elizabeth City, North Carolina",NA,-76.2248,36.2957,NA
Odds and Ends,unidentifiable,NA,NA,NA,NA
Ivory Independent,"Mattoon, Illionis",NA,-88.3773,39.4843,NA
Punching Judy (Punch & Judy),"New York City, New York",NA,-73.9808,40.7648,NA
Monthly Bulletin,"Richmond, Virginia",NA,-77.4343,37.5385,NA
Aspirant,unidentifiable,NA,NA,NA,NA
National Amateur,unidentifiable,NA,NA,NA,NA
Mazy Masker,unidentifiable,NA,NA,NA,NA
The Idle Hour,unidentifiable,NA,NA,NA,NA
Centennial,"Skowhegan, Maine",NA,-69.7192,44.7651,NA
Observer and Critic,unidentifiable,NA,NA,NA,NA
Thunderbolt,"Galveston, Texas",NA,-94.7946,29.2993,NA
Galveston Spectator,"Galveston, Texas",NA,-94.7946,29.2993,NA
Mystic Knight,unidentifiable,NA,NA,NA,NA
Amateur Star,unidentifiable,NA,NA,NA,NA
Monthly Casket,unidentifiable,NA,NA,NA,NA
Golden Gate,"San Francisco, California",NA,-122.463,37.7648,NA
St. Louis Telephone,"St. Louis, Missouri",NA,-90.19,38.63,NA
Satirist,"Boston, Massachusetts",NA,-71.0596,42.3605,NA
Little Gem,"Blackshear, Georgia",NA,-82.2421,31.3061,NA
Happy Thought,unidentifiable,NA,NA,NA,NA
Dew Drop,unidentifiable,NA,NA,NA,NA
Owl,"Cambridge, Massachusetts",NA,-71.1056,42.3751,NA
Crab,unidentifiable,NA,NA,NA,NA
Edinburgh Review,"Edinburgh, England",NA,-3.20399,55.94092,NA
Cincinnati Gazette,"Cincinnati, Ohio",NA,-84.5125,39.1015,NA
Regular Amateur,"East Pepperell, MA",NA,-71.5731,42.6654,NA
Amateur Dial,"Richmond, Virginia",NA,-77.4343,37.5385,NA
Phoenix,"Columbia, South Carolina",NA,-81.0343,34.0007,NA
Paris Times,unidentifiable,NA,NA,NA,NA
Youths' Friend,unidentifiable,NA,NA,NA,NA
Electric Light,"Cincinnati, Ohio",NA,-84.5125,39.1015,NA
Visitor,unidentifiable,NA,NA,NA,NA
The Connoisseur,"Cincinnati, Ohio",NA,-84.5125,39.1015,NA
Vanity Fair,unidentifiable,NA,NA,NA,NA
Banner,"Yazoo City, Mississippi",NA,-90.4056,32.8551,NA
Fickedula,unidentifiable,NA,NA,NA,NA
Radical,unidentifiable,NA,NA,NA,NA
