Category,frequency
Clothes and shoes,31
Beauty product,4
Medicine and doctorâ€™s office,8
Books/postcard/portrait/periodicals,4
Barbershop/beauty parlor,1
Farming,0
Construction/manufacturing,5
Home management,10
Employment,1
Printer/binder,0
Hotel/Boarding house,11
Jewelry,3
Groceries,4
Cleaning,1
Music lessons,0
Sewing machine,4
Restaurant/saloon/tavern,4
Cemetery/funeral,2
Insurance,6
Bank/Loan,1
Real estate,2
Liquors and cigars,4
Law office,2
Photography,3
Eyeglasses,4
Private school/training school,1
Entertainment,0
Transportation,2
Guns,0
Meeting announcements,0
Department store,0	
