category,frequency
Clothes and shoes,83
Beauty product,1
Medicine and doctorâ€™s office,156
Books/postcard/portrait/periodicals,30
Barbershop/beauty parlor,7
Farming,49
Construction/manufacturing,3
Home management,102
Employment,62
Printer/binder,2
Hotel/Boarding house,35
Jewelry,0	
Groceries,41
Cleaning,1
Music lessons,0	
Sewing machine,0	
Restaurant/saloon/tavern,0	
Cemetery/funeral,0	
Insurance,0	
Bank/Loan,0	
Real estate,0	
Liquors and cigars,0	
Law office,0	
Photography,0	
Eyeglasses,0	
Private school/training school,0	
Entertainment,0	
Transportation,0	
Guns,0	
Meeting announcements,0	
Department store,0	
